farmer_id,event_code,timestamp,event_name
103,1,1758027629,flood
104,3,1758027630,pest
105,1,1758027631,flood
203,3,1758027632,pest
105,1,1758027633,flood
103,1,1758027634,flood
105,1,1758027635,flood
201,3,1758027636,pest
203,3,1758027637,pest
103,3,1758027638,pest
201,2,1758027639,drought
102,1,1758027640,flood
103,2,1758027641,drought
201,1,1758027642,flood
102,3,1758027643,pest
105,2,1758027644,drought
203,1,1758027645,flood
101,2,1758027646,drought
104,2,1758027647,drought
103,3,1758027648,pest
